,region_id,proportion,total-reviews,negative-BOW,bad,small,dirty,unfriend,far,inconvenient,disappoint,sensitive
22,-1-Sham Shui Po,0.06640106241699867,2259,"Counter({'small': 96, 'old': 62, 'bad': 35, 'noisy': 32, 'however': 24, 'although': 19, 'far': 17, 'dirty': 12, 'smelly': 7, 'poor': 5, 'worst': 4, 'smaller': 4, 'satisfied': 4, 'cleaner': 3, 'unpleasant': 3, 'terrible': 3, 'scary': 3, 'tiny': 3, 'impressed': 2, 'disappointed': 2, 'tough': 2, 'worse': 2, 'modest': 1, 'filthy': 1, 'dirtier': 1, 'horrible': 1, 'inconvenient': 1, 'surprised': 1, 'messed': 1, 'unhygienic': 1, 'inconvenience': 1, 'awful': 1, 'rotten': 1, 'pleased': 1, 'weird': 1, 'uninviting': 1, 'cleanest': 1, 'disappointing': 1})",0.35831475065801516,0.36204275455352225,0.3371045842380668,0.33449093220227794,0.27219923711056315,0.31427884672810114,0.267849497538969,small
23,3-Yau Tsim Mong,0.04632211022946601,9326,"Counter({'small': 298, 'old': 148, 'noisy': 114, 'however': 78, 'bad': 56, 'tiny': 47, 'although': 46, 'smaller': 34, 'far': 26, 'dirty': 15, 'terrible': 14, 'worst': 9, 'smelly': 8, 'disappointed': 6, 'unpleasant': 5, 'cleaner': 5, 'worse': 5, 'glad': 4, 'poor': 4, 'horrible': 4, 'inconvenient': 3, 'scary': 3, 'satisfied': 3, 'smallest': 3, 'sorry': 3, 'obviously': 3, 'surprised': 2, 'disappointing': 2, 'concerned': 2, 'unprofessional': 2, 'unclean': 2, 'surprising': 2, 'impressed': 2, 'frustrated': 2, 'hassle': 2, 'unfriendly': 2, 'unfortunate': 1, 'pleased': 1, 'miserable': 1, 'filthy': 1, 'horrendous': 1, 'greasy': 1, 'unlucky': 1, 'disastrous': 1, 'awful': 1, 'cleanest': 1, 'farther': 1, 'subjective': 1, 'unhappy': 1, 'rude': 1, 'dodgy': 1, 'shaky': 1, 'angry': 1, 'weird': 1, 'sizable': 1})",0.22674001010987285,0.27588306470297436,0.2174004061345193,0.2279372468772237,0.1815798194564492,0.2138748324534922,0.17865162416684974,small
24,1-Wan Chai,0.012640449438202247,712,"Counter({'old': 8, 'small': 2, 'however': 2, 'noisy': 2, 'smaller': 1, 'unreliable': 1, 'glad': 1, 'greasy': 1, 'bad': 1, 'sour': 1, 'tiny': 1, 'sad': 1, 'disappointed': 1, 'frustrated': 1})",0.75974366604176,0.6590532164407207,0.6986423070021877,0.7236089333033404,0.5594688857993235,0.7108999051262205,0.7403462251339192,bad
25,4-Central & Western,0.007142857142857143,420,"Counter({'old': 2, 'although': 1, 'unpleasant': 1})",0.7043894546394003,0.4035249391133105,0.6432063928283092,0.7093582846843075,0.49759545068780864,0.7219451827726114,0.4909133610167399,inconvenient
26,-1-Sha Tin,0.029036004645760744,861,"Counter({'small': 13, 'old': 10, 'bad': 8, 'however': 5, 'far': 4, 'noisy': 2, 'unclean': 1, 'smelly': 1, 'pleased': 1, 'tiny': 1, 'although': 1, 'smaller': 1})",0.5598775723203552,0.5517393075368934,0.467268225554216,0.4807160483467203,0.438883495180152,0.44131553847452437,0.394634981203878,bad
27,-1-Sai Kung,0.016594516594516596,1386,"Counter({'far': 7, 'old': 6, 'noisy': 5, 'bad': 4, 'small': 4, 'although': 3, 'however': 2, 'satisfied': 2, 'hassle': 1, 'poor': 1, 'worst': 1, 'unpleasant': 1})",0.6344645432356684,0.5105806294209256,0.5450115615985753,0.5934025732082365,0.6234668059387898,0.5725396767562375,0.5348017435466921,bad
28,-1-Tuen Mun,0.029411764705882353,238,"Counter({'small': 4, 'far': 3, 'although': 1, 'however': 1, 'unpleasant': 1, 'worst': 1, 'tiny': 1})",0.6569016476479073,0.845616548435322,0.5926807042342975,0.6552629539970352,0.7863130984004377,0.6063676462591148,0.5371105854096363,small
29,-1-Tai Po,0.0111731843575419,358,"Counter({'noisy': 4, 'far': 2, 'bad': 1, 'horrible': 1, 'however': 1, 'terrible': 1, 'small': 1})",0.7455413153757509,0.5905255716428877,0.6889529396723157,0.7467598885349079,0.6710651050030968,0.7225496333028057,0.6058085118065231,unfriend
30,-1-Wong Tai Sin,0.03292181069958848,243,"Counter({'old': 6, 'small': 5, 'however': 2, 'although': 2, 'terrible': 1, 'smaller': 1, 'worst': 1, 'tiny': 1, 'far': 1})",0.5917824635062403,0.7351292390986114,0.5206240535597464,0.537413740008966,0.5415901359267473,0.47771375747330236,0.4233728091934934,small
31,-1-Tsuen Wan,0.015957446808510637,188,"Counter({'small': 3, 'old': 2, 'far': 1})",0.47922496720629854,0.7728839852292763,0.4392134825928666,0.46459726526598694,0.5547681393952331,0.4118749943030958,0.31925512381204063,small
32,-1-Kwun Tong,0.026627218934911243,338,"Counter({'noisy': 6, 'however': 3, 'although': 3, 'far': 2, 'bad': 2, 'terrible': 1, 'poor': 1, 'dirty': 1, 'small': 1, 'tiny': 1})",0.6820823539024374,0.5766601105362915,0.6821644430044661,0.6954574525310125,0.6083979389245908,0.6627972694380262,0.5749337936686238,unfriend
